"ID","Fecha creación","Tipo vertimiento","Medio receptor","Caudal","Permanentes","Transitorias","Cuenca","Macro cuenca","Cota","Pretratamiento","Tratamiento primario","Tratamiento secundario","Manejo efluente"
"125547.0","12/11/2024","Agua residual doméstica","Al suelo","0.0126","5","5","R. Aurra","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1081.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"125983.0","11/12/2024","Agua residual doméstica","Al suelo","0.0085","4","2","Q. Aguas Frías","Río San Bartolo y otros directos al Magdalena Medio","922.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"124776.0","28/08/2024","Agua residual doméstica","Al suelo","0.0042","2","1","Q. El Guamo","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1287.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"106133.0","22/02/2021","Agua residual doméstica","Al suelo","0.0035","2","0","Directos al R. Cauca (md) entre Q. Tesorera y Q. La Clara","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","1668.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"124406.0","30/07/2024","Agua residual doméstica","Al suelo","0.005","3","0","Q. Santa Barbara","Río Porce","2633.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"109706.0","02/09/2021","Agua residual doméstica","Al suelo","0.0074","2","5","DIRECTOS RI. ABURRA  (INTERCUENCA 2)","Río Porce","1424.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"125853.0","04/12/2024","Agua residual doméstica","Al suelo","0.0068","3","2","R. Tonusco","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","522.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"112679.0","03/03/2022","Agua residual doméstica","Al suelo","0.0039","0","5","Q. SANTA ELENA","Río Porce","2705.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"115448.0","26/09/2022","Agua residual doméstica","Al suelo","0.0086","5","0","Q. EL CHUSCAL","Río Porce","1861.0","No registra","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"113874.0","09/06/2022","Agua residual doméstica","Al suelo","0.0108","4","5","Q. PIEDRAS BLANCAS","Río Porce","2532.0","No registra","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"126295.0","08/01/2025","Agua residual doméstica","Al suelo","0.005","2","2","Q. LA IGUANA","Río Porce","2353.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"105675.0","03/02/2021","Agua residual doméstica","Al suelo","0.0069","4","0","Q. LA IGUANA","Río Porce","2220.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"127415.0","28/05/2025","Agua residual doméstica","Al suelo","0.005","2","2","Q. LA IGUANA","Río Porce","2226.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"118120.0","28/04/2023","Agua residual doméstica","Al suelo","0.0116","4","6","Directos R. Cauca (mi) entre Q. Seca y Q. Tiembla","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","493.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"106344.0","01/03/2021","Agua residual doméstica","Al suelo","0.0031","0","4","Q. SANTA ELENA","Río Porce","2191.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"124800.0","29/08/2024","Agua residual doméstica","Al suelo","0.0066","3","2","Q. Sabaletas","Río Arma","1988.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"120893.0","12/10/2023","Agua residual doméstica","Al suelo","0.0041","1","3","Q. LA IGUANA","Río Porce","2385.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"111307.0","26/11/2021","Agua residual doméstica","Al suelo","0.016","7","5","Q. La Liboriana","Río San Juan","1500.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"127390.0","27/05/2025","Agua residual doméstica","Al suelo","0.0094","5","1","Q. LA IGUANA","Río Porce","2236.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"127279.0","14/05/2025","Agua residual doméstica","Al suelo","0.0042","2","1","Q. PIEDRAS BLANCAS","Río Porce","2523.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"116595.0","26/12/2022","Agua residual doméstica","Al suelo","0.005","3","0","Q. De Las Animas","Río Porce","2462.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"105937.0","12/02/2021","Agua residual doméstica","Al suelo","0.0069","4","0","Q. LA IGUANA","Río Porce","2090.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"119444.0","27/07/2023","Agua residual doméstica","Al suelo","0.01","4","4","Q. RODAS","Río Porce","2315.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112250.0","21/01/2022","Agua residual doméstica","Al suelo","0.0008","0","1","Q. DOS QUEBRADAS","Río Porce","2075.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"118885.0","15/06/2023","Agua residual doméstica","Al suelo","0.0067","4","0","Q. La Pretel","Río Porce","2580.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"109861.0","09/09/2021","Agua residual doméstica","Al suelo","0.0074","3","3","Directos R. Cauca (mi) - R. Amagáy Q. Sinifaná- NSS","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1234.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"104800.0","17/12/2020","Agua residual doméstica","Al suelo","0.0034","2","0","Q. SANTA ELENA","Río Porce","2608.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112261.0","25/01/2022","Agua residual doméstica","Al suelo","0.0085","4","2","DIRECTOS AL R ABURRA (INTERCUENCA 1)","Río Porce","1265.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"124610.0","14/08/2024","Agua residual doméstica","Al suelo","0.0115","4","6","Q. La Peinada","Río Frío y Otros Directos al Cauca","1387.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"124848.0","30/08/2024","Agua residual doméstica","Al suelo","0.0091","3","5","Q. Aguas Frías","Río San Bartolo y otros directos al Magdalena Medio","1118.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"119749.0","11/08/2023","Agua residual doméstica","Al suelo","0.0094","4","3","Q. Sardina","Bajo Nechí","175.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"120294.0","20/09/2023","Agua residual doméstica","Al suelo","0.0058","3","1","Q. La Sucia","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1455.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
